City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Forecast
52,Marsh Harbour,BS,2021-04-04 22:33:39,26.5412,-77.0636,68.07,52,100,14.43,overcast clouds
53,Cap-Chat,CA,2021-04-04 22:36:07,49.1001,-66.6821,28.4,93,100,1.14,light snow
54,Kapaa,US,2021-04-04 22:38:37,22.0752,-159.319,78.8,53,75,16.11,broken clouds
55,San Patricio,US,2021-04-04 22:38:38,28.017,-97.5169,80.6,47,1,18.41,clear sky
56,Benidorm,ES,2021-04-04 22:38:38,38.5382,-0.131,57.0,88,4,3.56,clear sky
57,Arlit,NE,2021-04-04 22:38:38,18.7369,7.3853,78.94,7,0,9.31,clear sky
58,Lebu,CL,2021-04-04 22:38:38,-37.6167,-73.65,55.69,83,31,10.76,scattered clouds
59,Port-Gentil,GA,2021-04-04 22:34:45,-0.7193,8.7815,82.4,89,20,8.05,light rain
60,Torbay,CA,2021-04-04 22:38:39,47.6666,-52.7314,41.0,100,90,11.5,mist
61,Hithadhoo,MV,2021-04-04 22:38:39,-0.6,73.0833,83.05,76,60,17.96,broken clouds
62,Conceicao Da Barra,BR,2021-04-04 22:38:40,-18.5933,-39.7322,74.71,84,74,7.34,broken clouds
63,Bambous Virieux,MU,2021-04-04 22:38:40,-20.3428,57.7575,80.01,77,41,8.01,light rain
64,Dwarka,IN,2021-04-04 22:38:40,22.2394,68.9678,79.07,76,0,9.84,clear sky
65,Amapa,BR,2021-04-04 22:38:40,1.0,-52.0,73.36,99,96,3.15,overcast clouds
66,Bowen,AU,2021-04-04 22:35:16,-20.0167,148.2333,73.4,94,90,3.44,light rain
67,Champerico,GT,2021-04-04 22:38:41,14.3,-91.9167,89.6,58,40,11.5,scattered clouds
68,Bandarbeyla,SO,2021-04-04 22:38:41,9.4942,50.8122,77.27,80,60,0.94,broken clouds
69,Cidreira,BR,2021-04-04 22:38:42,-30.1811,-50.2056,72.82,76,5,18.45,clear sky
70,Labuhan,ID,2021-04-04 22:38:42,-6.8844,112.2051,77.61,85,100,6.26,overcast clouds
71,Hermanus,ZA,2021-04-04 22:38:42,-34.4187,19.2345,64.0,91,98,1.99,overcast clouds
72,Kabo,CF,2021-04-04 22:38:43,7.6994,18.629,81.75,19,13,4.21,few clouds
73,Butaritari,KI,2021-04-04 22:38:43,3.0707,172.7902,82.35,78,84,15.59,broken clouds
74,Rafaela,AR,2021-04-04 22:38:43,-31.2503,-61.4867,75.0,62,6,1.01,clear sky
75,Sao Joao Da Barra,BR,2021-04-04 22:38:44,-21.6403,-41.0511,78.8,73,75,13.8,broken clouds
76,Chokurdakh,RU,2021-04-04 22:38:44,70.6333,147.9167,-16.13,97,50,4.12,scattered clouds
77,Montrose,US,2021-04-04 22:38:44,38.4166,-108.2673,73.99,12,65,11.99,broken clouds
78,Bredasdorp,ZA,2021-04-04 22:38:45,-34.5322,20.0403,62.6,94,100,9.22,light rain
79,Cape Town,ZA,2021-04-04 22:36:57,-33.9258,18.4232,64.99,88,0,11.5,clear sky
80,Praya,CV,2021-04-04 22:38:45,14.9215,-23.5087,77.0,47,0,14.97,clear sky
81,Lisakovsk,KZ,2021-04-04 22:38:46,52.5369,62.4936,33.78,94,100,10.09,overcast clouds
82,Asau,RO,2021-04-04 22:38:46,46.4333,26.4,32.0,65,71,3.33,light snow
83,Muisne,EC,2021-04-04 22:38:47,0.6,-80.0333,77.0,94,90,10.36,overcast clouds
84,Lorengau,PG,2021-04-04 22:38:47,-2.0226,147.2712,81.34,80,100,4.43,overcast clouds
85,Brigantine,US,2021-04-04 22:38:47,39.4101,-74.3646,64.4,25,1,12.66,clear sky
86,Liverpool,GB,2021-04-04 22:36:17,53.4106,-2.9779,50.0,81,75,18.41,broken clouds
87,Vila Franca Do Campo,PT,2021-04-04 22:38:48,37.7167,-25.4333,60.8,94,40,5.75,scattered clouds
88,Atherton,GB,2021-04-04 22:38:48,53.5237,-2.4935,48.99,71,99,11.01,overcast clouds
89,Salalah,OM,2021-04-04 22:38:49,17.0151,54.0924,80.6,78,0,3.44,clear sky
90,Udachnyy,RU,2021-04-04 22:33:59,66.4167,112.4,-20.83,100,99,5.03,overcast clouds
91,Usinsk,RU,2021-04-04 22:38:49,65.9939,57.5281,9.32,99,58,2.66,broken clouds
92,Thompson,CA,2021-04-04 22:38:40,55.7435,-97.8558,44.6,29,75,5.75,broken clouds
93,Noumea,NC,2021-04-04 22:38:50,-22.2763,166.4572,82.4,54,0,2.3,clear sky
94,Aklavik,CA,2021-04-04 22:34:16,68.2191,-135.0107,14.0,79,100,6.91,overcast clouds
95,Hun,LY,2021-04-04 22:38:50,29.1268,15.9477,75.49,10,77,15.57,broken clouds
96,Vila,PT,2021-04-04 22:38:50,42.0304,-8.1588,54.0,65,10,1.01,clear sky
97,Rajmahal,IN,2021-04-04 22:38:51,25.05,87.8333,72.88,52,0,7.54,clear sky
98,Barrow,US,2021-04-04 22:38:51,71.2906,-156.7887,-4.0,71,1,16.11,clear sky
99,Ayan,RU,2021-04-04 22:38:51,56.45,138.1667,15.42,74,28,8.39,scattered clouds
100,Longyearbyen,SJ,2021-04-04 22:38:52,78.2186,15.6401,23.0,68,75,33.38,broken clouds
101,Yellowknife,CA,2021-04-04 22:38:52,62.456,-114.3525,27.0,42,1,5.75,clear sky
102,Ibb,YE,2021-04-04 22:36:36,13.9667,44.1833,62.6,51,9,2.39,clear sky
103,Todos Santos,MX,2021-04-04 22:38:52,23.45,-110.2167,71.01,80,3,5.01,clear sky
104,Itoman,JP,2021-04-04 22:38:53,26.1247,127.6694,66.2,68,75,20.71,broken clouds
105,Lata,PT,2021-04-04 22:38:53,40.1629,-8.3327,54.0,69,0,1.01,clear sky
106,Pierre,US,2021-04-04 22:38:54,44.3683,-100.351,84.99,13,1,17.27,clear sky
107,Carnarvon,AU,2021-04-04 22:38:54,-24.8667,113.6333,75.2,83,12,16.11,few clouds
108,Tuktoyaktuk,CA,2021-04-04 22:38:54,69.4541,-133.0374,3.2,85,90,16.11,light snow
109,Ostersund,SE,2021-04-04 22:38:55,63.1792,14.6357,30.0,80,40,18.41,scattered clouds
110,Kangaatsiaq,GL,2021-04-04 22:38:55,68.3065,-53.4641,18.93,70,100,2.26,overcast clouds
111,Faanui,PF,2021-04-04 22:38:55,-16.4833,-151.75,82.02,74,19,10.56,light rain
112,Castro,BR,2021-04-04 22:37:26,-24.7911,-50.0119,58.68,95,33,6.87,scattered clouds
113,Swellendam,ZA,2021-04-04 22:38:56,-34.0226,20.4417,62.6,94,100,9.22,light rain
114,Utica,US,2021-04-04 22:37:11,43.1009,-75.2327,55.4,33,1,16.11,clear sky
115,Jamestown,US,2021-04-04 22:38:56,42.097,-79.2353,51.8,37,1,11.5,clear sky
116,Magistralnyy,RU,2021-04-04 22:38:57,56.1725,107.4458,21.74,94,89,2.48,overcast clouds
117,Arraial Do Cabo,BR,2021-04-04 22:38:57,-22.9661,-42.0278,77.0,78,40,4.61,scattered clouds
118,Flinders,AU,2021-04-04 22:38:57,-34.5833,150.8552,73.0,84,32,3.0,scattered clouds
119,Bethlehem,BR,2021-04-04 22:37:16,-1.4558,-48.5044,75.2,94,40,2.3,heavy intensity rain
120,Pangnirtung,CA,2021-04-04 22:38:58,66.1451,-65.7125,0.61,87,44,5.91,scattered clouds
121,Kaitangata,NZ,2021-04-04 22:38:58,-46.2817,169.8464,51.42,82,44,16.67,scattered clouds
122,Airai,TL,2021-04-04 22:38:59,-8.9266,125.4092,60.8,94,100,3.15,overcast clouds
123,Okato,NZ,2021-04-04 22:38:59,-39.2,173.8833,66.0,77,97,8.99,overcast clouds
124,Ingham,US,2021-04-04 22:38:59,42.6,-84.3833,68.0,27,1,4.61,clear sky
125,Pinos,MX,2021-04-04 22:39:00,22.3,-101.5667,75.2,22,1,11.5,clear sky
126,Honiara,SB,2021-04-04 22:39:00,-9.4333,159.95,86.11,69,31,2.68,scattered clouds
127,Ambon,ID,2021-04-04 22:39:00,-3.6954,128.1814,78.8,89,40,3.44,scattered clouds
128,Port Hedland,AU,2021-04-04 22:39:01,-20.3167,118.5667,71.6,56,9,6.91,clear sky
129,Guerrero Negro,MX,2021-04-04 22:39:01,27.9769,-114.0611,67.24,62,2,19.6,clear sky
130,Clearlake,US,2021-04-04 22:39:01,38.9582,-122.6264,68.0,42,71,4.0,broken clouds
131,Manzhouli,CN,2021-04-04 22:39:02,49.6,117.4333,33.13,67,33,20.04,scattered clouds
132,Georgetown,MY,2021-04-04 22:39:02,5.4112,100.3354,82.99,89,20,4.88,few clouds
133,Chara,RU,2021-04-04 22:39:02,56.9064,118.2631,19.13,75,79,8.57,broken clouds
134,Semey,KZ,2021-04-04 22:39:03,50.4111,80.2275,28.18,78,7,9.28,clear sky
135,Srandakan,ID,2021-04-04 22:39:03,-7.9386,110.2506,76.46,88,100,2.95,heavy intensity rain
136,Broome,US,2021-04-04 22:39:04,42.2506,-75.833,51.8,37,20,16.11,few clouds
137,Iqaluit,CA,2021-04-04 22:39:04,63.7506,-68.5145,6.8,78,40,4.61,scattered clouds
138,Fara In Sabina,IT,2021-04-04 22:39:04,42.2089,12.7292,48.99,57,26,5.14,scattered clouds
139,Oktyabrskiy,RU,2021-04-04 22:39:04,54.4815,53.471,32.47,82,100,10.58,overcast clouds
140,Terre Haute,US,2021-04-04 22:39:05,39.4667,-87.4139,73.4,35,1,9.22,clear sky
141,Kahului,US,2021-04-04 22:39:05,20.8947,-156.47,75.2,83,75,19.57,light rain
142,Dingle,PH,2021-04-04 22:39:06,10.9995,122.6711,77.94,79,92,7.38,overcast clouds
143,Yarada,IN,2021-04-04 22:39:06,17.65,83.2667,80.02,83,24,4.5,few clouds
144,Padang,ID,2021-04-04 22:39:06,-0.9492,100.3543,73.4,94,75,2.3,broken clouds
145,Coahuayana,MX,2021-04-04 22:38:26,18.7333,-103.6833,84.2,42,40,11.5,scattered clouds
146,Krasnoselkup,RU,2021-04-04 22:39:07,65.7,82.4667,30.54,94,100,14.12,overcast clouds
147,Isangel,VU,2021-04-04 22:39:07,-19.55,169.2667,80.6,74,75,16.11,broken clouds
148,Qaanaaq,GL,2021-04-04 22:39:07,77.484,-69.3632,-13.05,60,26,7.14,scattered clouds
149,Karratha,AU,2021-04-04 22:39:08,-20.7377,116.8463,81.66,43,6,6.35,clear sky
150,Severobaykalsk,RU,2021-04-04 22:39:08,55.65,109.3167,15.51,89,25,3.94,scattered clouds
151,Ahipara,NZ,2021-04-04 22:39:08,-35.1667,173.1667,68.14,63,85,5.46,overcast clouds
152,Torbat-E Jam,IR,2021-04-04 22:39:09,35.244,60.6225,46.71,71,44,2.24,scattered clouds
153,Rawson,AR,2021-04-04 22:39:09,-43.3002,-65.1023,80.31,36,10,22.1,clear sky
154,Pisco,PE,2021-04-04 22:34:41,-13.7,-76.2167,77.0,69,0,4.61,clear sky
155,Acapulco,MX,2021-04-04 22:38:10,16.8634,-99.8901,86.0,66,1,9.22,clear sky
156,Porto Novo,BJ,2021-04-04 22:39:09,6.4965,2.6036,84.2,84,40,14.97,scattered clouds
157,Upernavik,GL,2021-04-04 22:39:10,72.7868,-56.1549,-14.53,94,34,8.23,scattered clouds
158,Karabulak,RU,2021-04-04 22:39:10,43.3036,44.8964,39.2,75,42,6.71,scattered clouds
159,Pevek,RU,2021-04-04 22:39:11,69.7008,170.3133,-7.89,92,95,8.66,overcast clouds
160,Labuan,MY,2021-04-04 22:39:11,5.2767,115.2417,77.0,94,20,2.3,few clouds
