City_ID,City,Country,Max Temp,Forecast,Lat,Lng,Hotel Name
412,Griffith,US,75.2,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
414,Kanniyakumari,IN,79.38,clear sky,8.0833,77.5667,Sparsa
415,Grants,US,77.0,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
417,Orocue,CO,82.18,moderate rain,4.7912,-71.3354,Hotel Brisas de San Miguel
421,Kasangulu,CD,77.0,light rain,-4.5911,15.1708,Hôtel le Relais
423,Carutapera,BR,76.1,overcast clouds,-1.195,-46.02,Lidera
424,Vila Do Maio,CV,77.0,clear sky,15.1333,-23.2167,Residence 'I Delfini'
427,Otane,NZ,75.0,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
428,Saint George,US,88.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
429,Cortez,US,75.2,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
433,Tessalit,ML,81.93,clear sky,20.1986,1.0114,
434,West Wendover,US,78.8,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
435,Bandar-E Lengeh,IR,77.04,scattered clouds,26.5579,54.8807,کافی نت پارس
436,Poum,NC,79.48,overcast clouds,-20.2333,164.0167,Gîte kajeon
437,Merauke,ID,81.16,overcast clouds,-8.4667,140.3333,PC
439,Bengkulu,ID,76.44,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
440,Olinda,BR,80.6,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
443,Quatre Cocos,MU,80.01,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
444,Khairagarh,IN,77.4,clear sky,26.95,77.8167,Aqua kalandri R.O.
448,Tiarei,PF,86.0,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
455,Nabire,ID,78.8,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
456,Mitsamiouli,KM,81.86,scattered clouds,-11.3847,43.2844,Foyer ADM
459,Bridgetown,BB,80.6,few clouds,13.1,-59.6167,Hilton Barbados Resort
461,Sorong,ID,81.91,broken clouds,-0.8833,131.25,The Waigo Hotel
463,Phan Thiet,VN,75.31,overcast clouds,10.9333,108.1,Hotel Saigon-PT
466,Kuching,MY,77.0,few clouds,1.55,110.3333,The Ranee Boutique Suites
471,Praia,CV,77.0,clear sky,14.9215,-23.5087,LT Aparthotel
477,Port Blair,IN,79.14,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
481,Saint Paul,US,75.99,clear sky,44.9444,-93.0933,InterContinental Saint Paul Riverfront
486,Narsingi,IN,80.01,few clouds,18.0333,78.4333,Dharmakar Nagoji sowrakshana complex
487,Pozo Colorado,PY,78.28,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
490,Tarakan,ID,80.11,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
492,Libreville,GA,82.4,light rain,0.3925,9.4537,Hotel Re-Ndama
504,Cairns,AU,78.01,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
507,Angoram,PG,76.68,overcast clouds,-4.0625,144.0661,
510,Alta Floresta,BR,75.31,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
511,Palauig,PH,80.82,few clouds,15.435,119.9045,Myhousebythesea
513,Sola,VU,78.8,overcast clouds,-13.8833,167.55,Leumerus Bungalows
517,Axim,GH,79.18,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
519,Kumphawapi,TH,75.99,overcast clouds,17.1087,103.0149,ลีลาวดี รีสอร์ท
520,Totness,SR,77.43,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
530,Salvador,SV,87.8,few clouds,13.8333,-88.9167,Chico's Ranch
531,Duku,NG,85.44,broken clouds,11.2361,4.9073,
534,Bhan,PK,84.04,clear sky,26.5583,67.7214,ZAMIN Ali Khushk
538,Vao,NC,76.17,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
549,Aransas Pass,US,75.2,scattered clouds,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
554,Maceio,BR,77.0,few clouds,-9.6658,-35.7353,Poutur Pousada
555,Jacqueville,CI,84.2,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
556,Piravam,IN,82.4,haze,9.8667,76.5,Manakkattu Home
558,Touros,BR,78.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
566,Anito,PH,80.49,overcast clouds,12.4497,125.2886,The Yellow House
569,Kendari,ID,77.52,overcast clouds,-3.945,122.4989,Hotel Wixel
572,Basavana Bagevadi,IN,81.0,scattered clouds,16.5833,75.9667,Vimochan lodge
576,Puerto Madryn,AR,76.1,few clouds,-42.7692,-65.0385,Hotel Tolosa
580,Golfito,CR,82.08,broken clouds,8.639,-83.166,Banana Bay Marina
585,Vilhena,BR,75.2,moderate rain,-12.7406,-60.1458,Hotel Mirage
586,Neuquen,AR,87.8,few clouds,-38.9516,-68.0591,Hotel del Comahue
589,Cabedelo,BR,80.6,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
590,Ormara,PK,78.71,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
592,Sedhiou,SN,78.64,broken clouds,12.7081,-15.5569,Auberge Cheznous
600,Finschhafen,PG,82.29,overcast clouds,-6.6024,147.8681,Cossam Guest House
604,Gao,ML,80.62,clear sky,16.6362,1.6369999999999998,
611,Kirakira,SB,86.2,broken clouds,-10.4544,161.9205,SanBiz Lodge
615,Kavaratti,IN,82.04,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
618,Namatanai,PG,81.43,overcast clouds,-3.6667,152.4333,Namatanai Hotel
619,Breves,BR,75.81,light rain,-1.6822,-50.4803,Hotel e Restaurante Grill
620,Bosaso,SO,76.44,broken clouds,11.2842,49.1816,Red Sea Hotel
623,Novo Aripuana,BR,79.21,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
624,Delta,NG,78.78,scattered clouds,5.5,6.0,Prestige Hotel
627,Acarau,BR,78.91,overcast clouds,-2.8856,-40.12,castelo pizzaria
630,Carauari,BR,76.21,overcast clouds,-4.8828,-66.8958,Hotel Fellip
633,Kidal,ML,81.43,clear sky,18.4411,1.4078,
635,Libenge,CD,75.96,overcast clouds,3.65,18.6333,
638,Iacu,BR,77.43,few clouds,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
639,The Valley,AI,80.6,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
640,Oranjestad,AW,82.4,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
650,Caravelas,BR,77.14,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
653,Kusti,SD,82.85,clear sky,13.1629,32.6635,فندق الكوباري - Kobari Hotel
658,Inirida,CO,75.9,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
659,San Policarpo,PH,81.79,overcast clouds,12.1791,125.5072,JM Lodge
662,Tonj,SS,87.06,overcast clouds,7.2737,28.6822,
664,San Lazaro,BZ,82.4,broken clouds,18.0387,-88.6622,
665,Pochutla,MX,88.0,clear sky,15.7432,-96.4661,Hotel Posada San Jose
